iter	Logloss
0	0.6924024064
1	0.6916630599
2	0.6900125181
3	0.6884562912
4	0.6881645815
5	0.6870516081
6	0.6867682584
7	0.6862056348
8	0.6849379894
9	0.6838620329
10	0.6825286527
11	0.6822163116
12	0.6807043176
13	0.6794583609
14	0.6781253056
15	0.6769527379
16	0.6750493209
17	0.6743249458
18	0.6735241236
19	0.6723611781
20	0.6710093936
21	0.6694288205
22	0.6682512769
23	0.6669068809
24	0.6665926792
25	0.6654099997
26	0.6651785769
27	0.6640052156
28	0.6633474121
29	0.6620158212
30	0.6616679223
31	0.660104564
32	0.6587119325
33	0.6579223813
34	0.6565424292
35	0.6562341903
36	0.655017203
37	0.6539785846
38	0.6527190129
39	0.6513535373
40	0.6497231832
41	0.6495260826
42	0.6489349927
43	0.6482877337
44	0.6474104224
45	0.6459008863
46	0.644930209
47	0.6441863651
48	0.6439987007
49	0.643585771
50	0.6425181238
51	0.6414368361
52	0.6399593465
53	0.6392149192
54	0.6385532204
55	0.6383802796
56	0.6379401188
57	0.6370239658
58	0.6355205283
59	0.6352650231
60	0.6350871237
61	0.6334241603
62	0.632216489
63	0.6304732428
64	0.6291165482
65	0.6282087283
66	0.6275978489
67	0.626882859
68	0.6259581507
69	0.6251854011
70	0.624258844
71	0.6235853905
72	0.622746487
73	0.6222617001
74	0.6211361076
75	0.6200645957
76	0.6192573831
77	0.6181804835
78	0.6166774501
79	0.6155662469
80	0.6152131934
81	0.613897985
82	0.6127920437
83	0.6120131277
84	0.6109012593
85	0.6101423321
86	0.6095957403
87	0.6085423792
88	0.6075963921
89	0.6064388175
90	0.6061775558
91	0.6053727248
92	0.6041786226
93	0.6029734572
94	0.6019526424
95	0.6016091013
96	0.6008813477
97	0.6004054687
98	0.6000105207
99	0.5994877399
100	0.5990680442
101	0.598126664
102	0.5975133049
103	0.5968301048
104	0.5960054579
105	0.5957026335
106	0.594988428
107	0.5937877167
108	0.5925850471
109	0.5915441727
110	0.5907562936
111	0.5897268071
112	0.5887252315
113	0.5880565019
114	0.5872848516
115	0.5862320737
116	0.586136448
117	0.5852438504
118	0.5845258327
119	0.5837108979
120	0.5827740889
121	0.5816296442
122	0.5811686156
